ID;Distrito;Cidade/confirmada/UPA - SÓ TEM SP, NAO PODERÍAMOS TIRAR?;Relacao com UPA;Reside/UPA;Area/total hectares;Soma/area/total/propriedades/HA;Area/cultivada/inform/HA;Area/pastagem/HA;Area/veget/inform/HA;Comercializ/folhosas/hortalicas;Comercializ/raizes;Comercializ/frutas;Comercializ/legumes/graos;Comercializ/ornamentais;Comercializ/ervas/medicinais;Comercializ/mudas;Comercializ/outros;Culturas comercializadas;Especies/animais/produzidas;Comercializ/bovinos/corte;Comercializ/bovinos/leite;Comercializ/galinhas/frangos;Comercializ/patos;Comercializ/suinos;Comercializ/caprinos/corte/leite;Comercializ/cavalos;Comercializ/ovos;Comercializ/abelhas/mel;Comercializ/peixes;Comercializ/outras/especies/criadas;Comercializ/cliente/final;Comercializ/interm;Comercializ/quitandas/minimercados;Comercializ/restaur;Comercializ/supermerc;Comercializ/feiras;Comercializ/com/entrega;Comercializ/eventos;Comercializ/CEAGESP;Comercializ/entidades/sociais;Comercializ/poder/publico;Frequencia comercializacao via propriedade;Frequencia comercializacao via intermediario;Frequencia comercializacao via quitandas minimercados;Frequencia comercializacao via restaurantes;Frequencia comercializacao via supermercados;Frequencia comercializacao via feiras livres;Frequencia comercializacao via entrega;Frequencia comercializacao via eventos;Frequencia comercializacao via CEAGESP;Frequencia comercializacao via entidades sociais;Frequencia comercializacao via poder publico;Comercializ/regiao;Comercializ/outras/regioes/cid;Comercializ/outra/cid/15km;Comercializ/outra/cid;Transp/prop/distrib/prod;Embal/distrib/prod;Controle de pragas;Sexo;Faixa/etaria;Grau/instru;Renda/familiar/mensal;Faixa Renda média;Internet/freq;Possui/celular;Dificuldades/prod/classificacao1 - DIFICULDADES NO DIA A DIA PARA A PRODUÇÃO;Melhor/condicoes/trab/rendimento/classificacão1 - O QUE PRECISA PARA MELHORAR SUAS CONDIÇÕES DE TRABALHO
11;Parelheiros;Sao Paulo;Arrendatario;Sim;5;Nao se aplica;4,8;Nao tem;0;Sim;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Folhosas, hortalicas, legumes e graos;Bovino de corte, galinha, ovos;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Sim;Sim;Agroquimicos;Masculino;45 a 59 anos;Fundamental II Incompleto;Nao sabe/Nao respondeu;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
12;Marsilac;Sao Paulo;Proprietario;Sim;3;Nao se aplica;2;Nao tem;Nao tem;Nao;Nao;Sim;Nao se aplica;Sim;Nao;Nao;Nao se aplica;Frutas, ornamentais ;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao sabe/Nao respondeu;Nao;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Utiliza, mas nao especificou;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;Nao sabe/Nao respondeu;Nao se aplica;Nao sabe/Nao respondeu;Sim;Faltam recursos financeiros;Canais de comercializacao (visibilizar regiao, producao, produtores), ter clientes
13;Marsilac;Sao Paulo;Proprietario;Sim;0,8;Nao se aplica;0,8;Nao tem;Nao tem;Sim;Sim;Sim;Nao;Nao se aplica;Sim;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas, ervas medicinais;Galinha, abelha e mel, peixes;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Nao se aplica;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Toda semana ou quase toda semana;Nao sabe/Nao respondeu;Sim;Sim;Sim;Nao;Sim;Sim;Nao realiza;Masculino;35 a 44 anos;Ensino Superior Completo ou mais;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;Mao de obra, mais produtividades
14;Parelheiros;Sao Paulo;Proprietario;Sim;10;Nao se aplica;1;0;Nao tem;Sim;Sim;Sim;Sim;Nao;Sim;Nao;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos, ervas medicinais;Galinha, patos, cavalos, ovos, abelha e mel, peixes;Nao se aplica;Nao se aplica;Nao;Nao;Nao se aplica;Nao se aplica;Nao;Sim;Sim;Nao;Nao se aplica;Sim;Sim;Sim;Sim;Nao;Sim;Sim;Sim;Nao;Nao;Nao;Pelo menos uma vez por mes;Pelo menos uma vez por mes;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Nao;Sim;Nao;Naturais/organicos;Masculino;45 a 59 anos;Ensino Superior Incompleto;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Faltam recursos financeiros;Mao de obra, mais produtividades
15;Marsilac;Sao Paulo;Proprietario;Sim;0,5;Nao se aplica;0,5;Nao tem;Nao tem;Sim;Sim;Nao;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Folhosas, hortalicas, raizes, ervas medicinais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Nao;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Sim;Nao;Sim;Sim;Agroquimicos e naturais/organicos;Masculino;45 a 59 anos;Ensino Medio Incompleto;7485;7485;Todos os dias ou quase todos os dias;Sim;Problemas de saude, idade;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
16;Parelheiros;Sao Paulo;Proprietario;Sim;0,2;Nao se aplica;0,18;Nao tem;Nao tem;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Mais ou menos uma vez a cada tres meses;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Sim;Nao realiza;Masculino;45 a 59 anos;Ensino Medio Incompleto;998;998;Todos os dias ou quase todos os dias;Sim;Problemas com infraestrutura, logistica de escoamento da producao;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
17;Grajau;Sao Paulo;Proprietario;Sim;5;Nao se aplica;0,1;0;Nao tem;Sim;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Folhosas, hortalicas;Bovino de leite, galinha, patos, suinos, caprinos, cavalos, ovos;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;3996,5;Nao se aplica;Nao sabe/Nao respondeu;Sim;Faltam recursos financeiros;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
18;Parelheiros;Sao Paulo;Arrendatario;Nao;0,5;Nao se aplica;0,4;Nao tem;0,1;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Sim;Nao se aplica;Ornamentais, mudas;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Sim;Nao;Nao;Pelo menos uma vez por mes;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Sim;Sim;Sim;Nao realiza;Masculino;35 a 44 anos;Ensino Medio Completo;7485;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
19;Grajau;Sao Paulo;Proprietario;Nao;1;Nao se aplica;1;Nao tem;Nao tem;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Folhosas, hortalicas, mudas;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Sim;Nao;Sim;Sim;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Sim;Nao;Sim;Sim;Agroquimicos;Masculino;25 a 34 anos;Ensino Superior Completo ou mais;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Agua (falta ou excesso)/ Questoes climaticas;Outros (incentivo e divulgacao de turismo rural, analise do solo, cessao de terras para o plantio, mais organizacao da cooperativa, combate as pragas, mais terra)
20;Marsilac;Sao Paulo;Proprietario;Sim;0,03;Nao se aplica;0,009;Nao tem;0,05;Sim;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Folhosas, hortalicas;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Sim;Nao realiza;Masculino;35 a 44 anos;Fundamental II Incompleto;2495;998;Todos os dias ou quase todos os dias;Sim;Faltam recursos financeiros;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
21;Parelheiros;Sao Paulo;Proprietario;Sim;2,2;Nao se aplica;2;Nao tem;Nao tem;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Folhosas, hortalicas;Galinha, ovos, peixes;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Nao;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Mais ou menos uma vez a cada tres meses;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Sim;Nao;Nao realiza;Feminino;45 a 59 anos;Ensino Medio Completo;3996,5;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Mais maquinarios agricolas, caminhao e trator
22;Marsilac;Sao Paulo;Arrendatario;Sim;0,8;Nao se aplica;0,4;Nao tem;0,005;Sim;Sim;Sim;Sim;Sim;Sim;Nao se aplica;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos, ornamentais, ervas medicinais;Galinha, ovos;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Nao;Nao;Nao;Nao;Sim;Nao;Nao;Nao;Sim;Toda semana ou quase toda semana;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Sim;Sim;Sim;Nao;Nao;Sim;Nao realiza;Masculino;25 a 34 anos;Ate Fundamental I Incompleto;7485;7485;Todos os dias ou quase todos os dias;Sim;Aquisicao de adubo, mudas e sementes, maquinario agricola, equipamentos de irrigacao;Mais maquinarios agricolas, caminhao e trator
